移动直播源,#genre#
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225751/index.m3u8?$广西cdn
新疆卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225788/index.m3u8?$广西cdn
西藏卫视,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225800/index.m3u8?$广西cdn
黑莓电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225740/index.m3u8?$广西cdn
黑莓动画,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225710/index.m3u8?$广西cdn
哈哈炫动,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225711/index.m3u8?$广西cdn
金鹰卡通,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225702/index.m3u8?$广西cdn
优漫卡通,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225791/index.m3u8?$广西cdn
哒哒赛事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225760/index.m3u8?$广西cdn
卡酷卡通,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225730/index.m3u8?$广西cdn
纯享4K,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225726/index.m3u8?$广西cdn
电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225733/index.m3u8?$广西cdn
CETV1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225776/index.m3u8?$广西cdn
CETV2,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225881/index.m3u8?$广西cdn
CETV4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225723/index.m3u8?$广西cdn
山东教育卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225708/index.m3u8?$广西cdn
玉林公共,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225835/index.m3u8?$广西cdn
玉林新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225838/index.m3u8?$广西cdn
河池新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225844/index.m3u8?$广西cdn
河池教育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225890/index.m3u8?$广西cdn
北海新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225879/index.m3u8?$广西cdn
北海经济科教,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225882/index.m3u8?$广西cdn
高尔夫网球,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225884/index.m3u8?$广西cdn
精品大剧,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225737/index.m3u8?$广西cdn
家庭剧场,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225743/index.m3u8?$广西cdn
惊悚悬疑,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225746/index.m3u8?$广西cdn
军事评论,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225749/index.m3u8?$广西cdn
金牌综艺,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225755/index.m3u8?$广西cdn
武搏世界,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225758/index.m3u8?$广西cdn
炫舞未来,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225728/index.m3u8?$广西cdn
潮妈辣婆,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225709/index.m3u8?$广西cdn
军旅剧场,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225727/index.m3u8?$广西cdn
精品体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225724/index.m3u8?$广西cdn
怡伴健康,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225684/index.m3u8?$广西cdn
农业致富,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225687/index.m3u8?$广西cdn
精品纪录,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225681/index.m3u8?$广西cdn
中国功夫,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225690/index.m3u8?$广西cdn
爱情喜剧,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225698/index.m3u8?$广西cdn
动作电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225703/index.m3u8?$广西cdn

河池移动2
CCTV1,http://111.12.102.39:6610/000000001000/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1.m3u8?$河池移动
CCTV2,http://111.12.102.70:6610/000000001000/HD-8000k-1080P-cctv2/HD-8000k-1080P-cctv2.m3u8?$河池移动
CCTV3,http://111.12.102.36:6610/000000001000/HD-8000k-1080P-cctv3/HD-8000k-1080P-cctv3.m3u8?$河池移动
CCTV4,http://111.12.102.50:6610/000000001000/SD-4000k-576P-cctv4/SD-4000k-576P-cctv4.m3u8?$河池移动
CCTV5,http://111.12.102.68:6610/000000001000/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5.m3u8?$河池移动
CCTV5+,http://111.12.102.46:6610/000000001000/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus.m3u8?$河池移动
CCTV6,http://111.12.102.49:6610/000000001000/HD-8000k-1080P-cctv6/HD-8000k-1080P-cctv6.m3u8?$河池移动
CCTV7,http://111.12.102.49:6610/000000001000/HD-8000k-1080P-cctv7/HD-8000k-1080P-cctv7.m3u8?$河池移动
CCTV8,http://111.12.102.46:6610/000000001000/HD-8000k-1080P-cctv8/HD-8000k-1080P-cctv8.m3u8?$河池移动
CCTV9,http://111.12.102.70:6610/000000001000/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9.m3u8?$河池移动c
CCTV10,http://111.12.102.69:6610/000000001000/HD-8000k-1080P-cctv10/HD-8000k-1080P-cctv10.m3u8?$河池移动
CCTV11,http://111.12.102.50:6610/000000001000/SD-4000k-576P-cctv11/SD-4000k-576P-cctv11.m3u8?$河池移动
CCTV12,http://111.12.102.69:6610/000000001000/HD-8000k-1080P-cctv12/HD-8000k-1080P-cctv12.m3u8?$河池移动
CCTV13,http://111.12.102.75:6610/000000001000/SD-4000k-576P-cctv13/SD-4000k-576P-cctv13.m3u8?$河池移动
CCTV14,http://111.12.102.45:6610/000000001000/HD-8000k-1080P-cctv14/HD-8000k-1080P-cctv14.m3u8?$河池移动
CCTV15,http://111.12.102.51:6610/000000001000/SD-4000k-576P-cctv15/SD-4000k-576P-cctv15.m3u8?$河池移动
CCTV16,http://111.12.102.37:6610/000000001000/HD-4000k-1080P-cctv16/HD-4000k-1080P-cctv16.m3u8?$河池移动
CCTV17,http://111.12.102.37:6610/000000001000/HD-4000k-1080P-cctv17/HD-4000k-1080P-cctv17.m3u8?$河池移动
广西卫视,http://111.12.102.69:6610/000000001000/SD-4000k-576P-guangxistv/SD-4000k-576P-guangxistv.m3u8?$河池移动
湖南卫视,http://111.12.102.34:6610/000000001000/HD-8000k-1080P-hunanstv/HD-8000k-1080P-hunanstv.m3u8?$河池移动
浙江卫视,http://111.12.102.51:6610/000000001000/HD-8000k-1080P-zhejiangstv/HD-8000k-1080P-zhejiangstv.m3u8?$河池移动
天津卫视,http://111.12.102.74:6610/000000001000/HD-8000k-1080P-tianjinstv/HD-8000k-1080P-tianjinstv.m3u8?$河池移动
东方卫视,http://111.12.102.68:6610/000000001000/HD-8000k-1080P-dongfangstv/HD-8000k-1080P-dongfangstv.m3u8?$河池移动
江苏卫视,http://111.12.102.47:6610/000000001000/HD-8000k-1080P-jiangsustv/HD-8000k-1080P-jiangsustv.m3u8?$河池移动
北京卫视,http://111.12.102.40:6610/000000001000/HD-8000k-1080P-beijingstv/HD-8000k-1080P-beijingstv.m3u8?$河池移动
广东卫视,http://111.12.102.51:6610/000000001000/HD-8000k-1080P-guangdongstv/HD-8000k-1080P-guangdongstv.m3u8?$河池移动
山东卫视,http://111.12.102.49:6610/000000001000/HD-8000k-1080P-shandongstv/HD-8000k-1080P-shandongstv.m3u8?$河池移动
湖北卫视,http://111.12.102.36:6610/000000001000/HD-8000k-1080P-hubeistv/HD-8000k-1080P-hubeistv.m3u8?$河池移动
安徽卫视,http://111.12.102.70:6610/000000001000/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv.m3u8?$河池移动
东南卫视,http://111.12.102.68:6610/000000001000/SD-4000k-576P-dongnanstv/SD-4000k-576P-dongnanstv.m3u8?$河池移动
江西卫视,http://111.12.102.51:6610/000000001000/HD-4000k-1080P-jiangxistv/HD-4000k-1080P-jiangxistv.m3u8?$河池移动
四川卫视,http://111.12.102.69:6610/000000001000/SD-4000k-576P-sichuanstv/SD-4000k-576P-sichuanstv.m3u8?$河池移动
贵州卫视,http://111.12.102.37:6610/000000001000/SD-4000k-576P-guizhoustv/SD-4000k-576P-guizhoustv.m3u8?$河池移动
重庆卫视,http://111.12.102.78:6610/000000001000/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv.m3u8?$河池移动
旅游卫视,http://111.12.102.44:6610/000000001000/lvyoustv/lvyoustv.m3u8?$河池移动
河北卫视,http://111.12.102.38:6610/000000001000/SD-4000k-576P-hebeistv/SD-4000k-576P-hebeistv.m3u8?$河池移动
河南卫视,http://111.12.102.44:6610/000000001000/SD-4000k-576P-henanstv/SD-4000k-576P-henanstv.m3u8?$河池移动
辽宁卫视,http://111.12.102.69:6610/000000001000/HD-8000k-1080P-liaoningstv/HD-8000k-1080P-liaoningstv.m3u8?$河池移动
黑龙江卫视,http://111.12.102.48:6610/000000001000/HD-8000k-1080P-heilongjiangstv/HD-8000k-1080P-heilongjiangstv.m3u8?$河池移动
甘肃卫视,http://111.12.102.35:6610/000000001000/SD-4000k-576P-gansustv/SD-4000k-576P-gansustv.m3u8?$河池移动
青海卫视,http://111.12.102.50:6610/000000001000/SD-4000k-576P-qinghaistv/SD-4000k-576P-qinghaistv.m3u8?$河池移动
山西卫视,http://111.12.102.43:6610/000000001000/SD-4000k-576P-shanxistv/SD-4000k-576P-shanxistv.m3u8?$河池移动
云南卫视,http://111.12.102.37:6610/000000001000/SD-4000k-576P-yunnanstv/SD-4000k-576P-yunnanstv.m3u8?$河池移动
陕西卫视,http://111.12.102.44:6610/000000001000/SD-4000k-576P-shanxi1stv/SD-4000k-576P-shanxi1stv.m3u8?$河池移动
吉林卫视,http://111.12.102.39:6610/000000001000/jilinstv/jilinstv.m3u8?$河池移动
宁夏卫视,http://111.12.102.73:6610/000000001000/SD-4000k-576P-ningxiastv/SD-4000k-576P-ningxiastv.m3u8?$河池移动
内蒙古卫视,http://111.12.102.43:6610/000000001000/SD-4000k-576P-neimenggustv/SD-4000k-576P-neimenggustv.m3u8?$河池移动
新疆卫视,http://111.12.102.36:6610/000000001000/SD-4000k-576P-xinjiangstv/SD-4000k-576P-xinjiangstv.m3u8?$河池移动
西藏卫视,http://111.12.102.70:6610/000000001000/xizangstv/xizangstv.m3u8?$河池移动
金鹰卡通,http://111.12.102.78:6610/000000001000/SD-4000k-576P-jinyingkaton/SD-4000k-576P-jinyingkaton.m3u8?$河池移动
嘉佳卡通,http://111.12.102.39:6610/000000001000/SD-4000k-576P-jiajiakaton/SD-4000k-576P-jiajiakaton.m3u8?$河池移动
哈哈炫动,http://111.12.102.37:6610/000000001000/SD-4000k-576P-xuandongkaton/SD-4000k-576P-xuandongkaton.m3u8?$河池移动
北京卡酷,http://111.12.102.40:6610/000000001000/kakukaton/kakukaton.m3u8?$河池移动
优漫卡通,http://111.12.102.35:6610/000000001000/SD-4000k-576P-youmankaton/SD-4000k-576P-youmankaton.m3u8?$河池移动
CETV1,http://111.12.102.42:6610/000000001000/SD-4000k-576P-jiaoyutv/SD-4000k-576P-jiaoyutv.m3u8?$河池移动
