央视频道,#genre#
江苏影视,http://ott.js.chinamobile.com/PLTV/3/224/3221225937/index.m3u8
江苏体育,http://ott.js.chinamobile.com/PLTV/3/224/3221225935/index.m3u8
徐州1,http://ott.js.chinamobile.com/PLTV/3/224/3221225945/index.m3u8
徐州2,http://ott.js.chinamobile.com/PLTV/3/224/3221225947/index.m3u8
徐州3,http://ott.js.chinamobile.com/PLTV/3/224/3221225949/index.m3u8
徐州4,http://ott.js.chinamobile.com/PLTV/3/224/3221225951/index.m3u8
凤凰1,http://ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰2,http://ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8



